Species,Red,Green,Blue,id,L,a,b,color,brightness
Carex anthoxanthea,197.561,180.634,139.11,Leaf_47,74.02433632081579,-0.23294597963330332,23.422269806847208,brown,light
Carex californica,158.326,143.158,95.101,Leaf_158,59.74658001517075,-1.41339735998669,27.64528860841402,brown,light
Carex circinata,211.07,193.942,144.11,Leaf_189,78.73346934343907,-1.3137861992036926,27.32199488354057,brown,light
Carex obtusata,201.946,187.307,148.265,Leaf_640,76.31012054474998,-0.8345434767733639,21.69974085453754,brown,light
Carex oreocharis,188.367,171.313,114.669,Leaf_651,70.34472089764421,-1.9500322239169865,31.41816441268808,brown,light
Carex panicea,174.379,162.335,122.924,Leaf_673,66.86107037948265,-1.7756470323025964,22.130069924184205,brown,light
Carex paniculata,144.203,129.939,80.608,Leaf_676,54.55558265394558,-1.7665433378485917,28.64939856779648,brown,light
Carex rupestris,157.05,130.545,90.43,Leaf_785,56.146551453741395,4.541952777059599,25.51409007618439,brown,light
Carex ursina,189.779,171.908,131.321,Leaf_963,70.91560458184853,0.3306181291050647,23.28587267413049,brown,light
Carex ursina,181.368,152.296,102.83,Leaf_964,64.51273468147798,4.12571222680258,30.05451466445117,brown,light
Carex viridula,168.964,153.562,109.879,Leaf_995,63.789300648783524,-0.8998441058117312,25.056761262367687,brown,light
Carex aboriginum,161.412,126.83,84.918,Perigynium_1,55.52965376195826,7.915154404273261,27.869695507317825,brown,light
Carex albida,206.897,188,136.448,Perigynium_27,76.70467018350901,-0.7804324137481444,28.582910139309003,brown,light
Carex aquatilis,157.578,130.656,81.234,Perigynium_54,56.082605160688956,3.719541349083033,30.514802930715113,brown,light
Carex aquatilis,167.306,145.573,105.952,Perigynium_58,61.431444075348764,2.318219946601252,24.052772049666295,brown,light
Carex atratiformis,168.477,139.477,88.651,Perigynium_85,59.64580313719051,4.249456513782668,31.221559196980987,brown,light
Carex aurea,174.52,154.809,106.421,Perigynium_91,64.5758707190403,0.29959809041413266,28.07013024449736,brown,light
Carex aureolensis,157.087,137.803,84.255,Perigynium_92,58.00432737117144,-0.17735280525438268,31.286457296963967,brown,light
Carex baileyi,169.307,144.826,91.594,Perigynium_100,61.18907282014949,1.9453962178601625,31.608494682860112,brown,light
Carex baltzellii,149.516,125.579,77.653,Perigynium_102,53.83917189133888,2.695828627459984,29.47388906228635,brown,light
Carex biltmoreana,150.528,135.007,80.713,Perigynium_122,56.55876806004977,-1.835600645547275,31.24758099887218,brown,light
Carex brainerdii,207.615,184.096,157.154,Perigynium_130,76.16307622448727,4.282461958137917,16.802062240958747,brown,light
Carex brevicaulis,200.524,178.722,138.005,Perigynium_131,73.77313165351893,1.808862614186224,23.718479422499115,brown,light
Carex buxbaumii,173.717,156.304,106.543,Perigynium_154,64.90129435977717,-0.833373933247783,28.41553298976136,brown,light
Carex capillaris,163.05,145.614,90.98,Perigynium_164,60.79003707985012,-1.2216266532372178,31.30771750524928,brown,light
Carex caroliniana,166.163,126.063,79.213,Perigynium_170,55.7598443689254,9.84491010811861,31.407136801025935,brown,light
Carex castanea,179.561,144.342,98.022,Perigynium_171,62.192288603928134,7.23194052986964,29.625081801241414,brown,light
Carex castanea,183.366,156.348,104.186,Perigynium_172,65.78576676914435,2.8940919134345378,31.007690854691393,brown,light
Carex chalciolepis,186.25,167.5,122.779,Perigynium_178,69.28775372001783,0.19762151396607308,25.65494406844293,brown,light
Carex chihuahuensis,188.183,169.412,121.076,Perigynium_184,69.93465800407255,-0.25699375673643443,27.46311516949198,brown,light
Carex circinata,142.377,124.57,90.603,Perigynium_187,53.06962945967135,1.6714227866518883,21.088033190022337,brown,light
Carex circinata,163.457,129.314,83.952,Perigynium_188,56.38252728366301,7.2985337879229455,29.535438705537132,brown,light
